id,loss
4,2359.9
6,3104.21
9,5786.97
12,3293.59
15,2588.57
17,2557.44
21,2716.78
28,1916.8
32,3286.17
43,3214.18
46,2152.48
50,1843.49
54,3050.06
62,2580.17
70,3615.74
71,2676.65
75,1863.25
77,2597.44
81,2177.59
83,2634.58
87,2165.65
97,1890.57
103,2280.15
119,2536.68
120,2406.67
127,2243.66
138,3673.82
141,2607.61
148,2505.59
150,3768.39
151,4320.39
158,2913.71
160,3608.19
165,4006.06
168,3951.27
169,3209.18
177,2505.39
178,3001.72
184,2665.74
194,5203.41
198,2488.03
203,3342.94
211,3000.21
217,2360.83
219,2574.8
221,3288.67
227,3193.66
230,2511.68
235,3687.61
240,2127.74
243,3510.51
249,4623.91
253,2861.33
258,2435.34
261,2163.65
263,3336.59
264,2871.06
265,3469.89
268,3218.37
271,1538.13
274,2408.75
275,1673.01
279,2357.9
282,2285.57
286,3656.75
288,1810.62
294,2519.49
296,2424.68
297,2984.23
300,2597.2
303,4130.2
314,2108.54
315,4464.75
321,2810.35
323,3597.78
330,2810.36
341,2889.37
342,2692.39
352,2913.36
353,2914.96
360,2955.71
361,2463.28
362,2873.41
366,2951.34
372,2983.85
376,2864.0
377,3693.87
379,2322.35
380,3380.99
387,2383.9
392,2806.53
394,8070.07
395,3026.32
397,2318.01
407,3931.19
411,3173.37
416,3116.63
417,2169.62
419,3665.16
428,2666.75
431,2487.82
436,9174.11
438,2228.05
445,4857.87
446,6916.3
455,2486.04
456,2490.87
461,2106.69
463,2811.29
464,3998.15
466,1970.01
467,2121.2
470,2023.83
475,2506.47
482,3032.55
490,3427.76
496,3629.06
497,3554.09
508,3665.98
510,3219.19
512,1604.28
513,3417.63
523,2284.47
531,3751.31
532,3018.42
533,2346.77
537,2238.22
544,3476.28
547,2088.62
556,3621.72
565,2354.75
566,2093.66
571,1773.05
573,2235.91
574,2488.76
581,2606.46
585,2178.07
589,2475.4
597,2606.71
601,2620.43
602,2825.64
613,3298.88
616,2121.32
619,3081.52
622,2321.59
623,2218.69
629,2178.27
634,3177.5
638,2060.83
642,2391.97
643,2498.23
645,1860.6
648,2916.46
652,2335.0
664,2033.56
666,2161.03
672,1727.22
676,3062.19
678,2914.2
682,2318.56
686,3513.13
688,3443.07
689,2022.38
690,3085.53
692,3112.97
695,2836.43
697,5423.36
698,2721.6
706,3518.91
708,2375.44
712,2139.09
715,2230.18
717,2289.56
725,2692.75
729,2822.72
737,3158.32
739,5023.07
747,4345.04
753,2018.76
758,4206.9
759,3306.83
763,2544.47
773,2902.98
774,3129.61
776,1919.47
788,2509.29
790,2710.45
794,3512.76
801,2257.8
802,2578.74
805,1537.38
809,3922.36
812,1876.21
825,2501.53
828,2945.16
830,2591.54
833,2539.34
850,4175.02
852,3638.29
862,2556.25
863,3235.89
864,3363.92
865,4186.75
868,3854.23
872,1943.13
879,2763.36
880,2026.92
883,2651.17
886,2574.32
923,2439.73
924,2298.7
932,4343.58
945,4025.72
947,3686.64
948,2618.63
955,1479.14
963,2645.74
979,2660.51
989,1865.17
994,2765.04
995,2740.81
998,2168.61
1000,3511.23
1018,3351.02
1019,2447.54
1028,3643.62
1034,2369.77
1038,3224.64
1040,2457.74
1042,1893.98
1057,3583.68
1058,2702.86
1063,2312.67
1066,3747.13
1071,3730.64
1073,3646.53
1074,3885.94
1077,3645.89
1080,7009.5
1088,1901.87
1096,2342.5
1097,6751.32
1105,2850.42
1115,2655.88
1116,3263.18
1122,3228.47
1130,3320.27
1133,1982.62
1137,2876.56
1140,2601.77
1143,3997.96
1149,3372.32
1150,2157.99
1153,2764.76
1157,2052.47
1180,1862.07
1183,2370.67
1188,2816.93
1193,2841.49
1200,1592.87
1209,2693.08
1214,2924.5
1219,2064.02
1223,3236.74
1227,2571.87
1228,2001.39
1229,3919.88
1233,1830.66
1238,3352.89
1239,2582.05
1241,3410.45
1243,3143.01
1244,2285.59
1245,3137.71
1277,3084.88
1279,3485.21
1292,2654.05
1293,2362.97
1299,6060.58
1304,2955.39
1313,3785.25
1328,2957.79
1330,1475.6
1334,2732.52
1335,2433.98
1336,4598.46
1341,2579.55
1344,1675.55
1351,2752.51
1352,4057.16
1354,1726.57
1368,4059.4
1373,2211.32
1375,1819.07
1381,2551.45
1384,6757.24
1385,3306.49
1388,4774.28
1401,4062.51
1402,4529.38
1404,2945.24
1406,2616.11
1409,1864.68
1422,2343.0
1429,3278.61
1433,4095.88
1438,2873.96
1444,2484.29
1446,2284.54
1450,2058.12
1451,1727.14
1454,2974.94
1458,3635.89
1461,3676.36
1464,4583.97
1465,3062.41
1478,3693.8
1479,2533.79
1480,2538.0
1484,2331.05
1486,2449.59
1488,2444.65
1489,4562.31
1491,2320.8
1507,2779.21
1515,2284.87
1519,2994.47
1528,2688.25
1529,2078.69
1530,3508.32
1532,2268.84
1541,2291.43
1542,3539.18
1547,2223.97
1549,1919.48
1553,3426.64
1554,5031.75
1555,2945.97
1559,2100.5
1565,3856.48
1568,2234.38
1576,3454.42
1579,2480.64
1592,1633.97
1596,4201.45
1605,2560.45
1607,2406.93
1612,3029.81
1617,2871.87
1619,2997.96
1620,2813.2
1624,2967.35
1627,2258.37
1633,2599.0
1636,2018.33
1639,2006.39
1640,4470.42
1644,2516.95
1646,3710.39
1647,4557.1
1654,1741.03
1655,2277.67
1664,3593.2
1665,2181.36
1667,5011.77
1669,1893.22
1678,3718.49
1682,4781.85
1689,2160.82
1690,2470.68
1693,4523.45
1695,2396.41
1705,2537.71
1706,3324.13
1708,3687.39
1716,2000.83
1720,4114.68
1722,1856.04
1749,2707.91
1750,2658.38
1751,4992.99
1760,3589.42
1763,4000.57
1770,2710.68
1777,3307.33
1785,2868.51
1791,2033.83
1794,2948.22
1800,2578.38
1816,3362.22
1817,2567.51
1821,2529.71
1836,2557.94
1838,2560.88
1851,2680.56
1852,3144.11
1854,2780.95
1856,1995.32
1865,2279.47
1872,2372.12
1878,2521.4
1880,1948.51
1881,2252.61
1882,5204.74
1886,2227.15
1892,2398.95
1894,2984.9
1898,4886.26
1899,2711.67
1902,2703.25
1903,3985.94
1906,2230.67
1910,2174.32
1911,2832.22
1914,4186.56
1929,3504.44
1932,2645.86
1952,2050.17
1959,2627.8
1960,2508.5
1976,3709.71
1980,2575.09
1981,3421.21
1987,2358.74
1994,2633.36
2000,3059.49
2008,3438.36
2011,2036.86
2012,4602.12
2019,2283.79
2022,3482.8
2024,4861.2
2028,1852.0
2030,2471.73
2031,4610.7
2047,2385.86
2049,2683.16
2050,2822.54
2051,4019.9
2056,1908.33
2057,3335.63
